state,year,educ,rpp,time1,treated1,did,rpp_no_treatment
Massachusetts,1989,80.7,null,null,null,null,null
Massachusetts,1990,80,3001,0,1,0,null
Massachusetts,1991,83.7,3126,0,1,0,null
Massachusetts,1992,84.15,2634,0,1,0,null
Massachusetts,1993,84.6,2799,1,1,1,1941
Massachusetts,1994,85.6,2951,1,1,1,2093
Massachusetts,1995,85.8,3150,1,1,1,2292
Massachusetts,1996,84.9,3269,1,1,1,2411
Massachusetts,1997,85.9,3462,1,1,1,2604
Massachusetts,1998,85.6,3731,1,1,1,2873
Massachusetts,1999,85.1,4044,1,1,1,3186
Massachusetts,2000,85.1,4387,1,1,1,3529
Massachusetts,2001,85.7,4533,1,1,1,3675
Massachusetts,2002,86.5,4886,1,1,1,4028
Massachusetts,2003,87.1,null,null,null,null,null
Massachusetts,2004,86.9,null,null,null,null,null
Massachusetts,2005,87.5,null,null,null,null,null
Massachusetts,2006,89.9,null,null,null,null,null
Maine and CT,1989,78.75,null,null,null,null,null
Maine and CT,1990,79,4408,0,0,0,null
Maine and CT,1991,82.8,4038,0,0,0,null
Maine and CT,1992,83.8,3972.5,0,0,0,null
Maine and CT,1993,84.8,3935,1,0,0,null
Maine and CT,1994,85.35,3831.5,1,0,0,null
Maine and CT,1995,85.9,3912,1,0,0,null
Maine and CT,1996,85,3866.5,1,0,0,null
Maine and CT,1997,84.9,3790.5,1,0,0,null
Maine and CT,1998,85.2,3870.5,1,0,0,null
Maine and CT,1999,86.3,4176,1,0,0,null
Maine and CT,2000,88.75,4347.5,1,0,0,null
Maine and CT,2001,86.45,4356,1,0,0,null
Maine and CT,2002,87.7,4732.5,1,0,0,null
Maine and CT,2003,87.05,null,null,null,null,null
Maine and CT,2004,87.95,null,null,null,null,null
Maine and CT,2005,88.6,null,null,null,null,null
Maine and CT,2006,88.85,null,null,null,null,null
