Date,Change
2002 JAN,-24.0
2002 FEB,-23.9
2002 MAR,-19.6
2002 APR,-17.3
2002 MAY,-14.4
2002 JUN,-10.3
2002 JUL,-10.2
2002 AUG,-10.0
2002 SEP,-7.8
2002 OCT,-4.4
2002 NOV,-0.8
2002 DEC,7.9
2003 JAN,8.1
2003 FEB,8.4
2003 MAR,6.1
2003 APR,6.1
2003 MAY,6.3
2003 JUN,6.1
2003 JUL,6.1
2003 AUG,2.7
2003 SEP,2.6
2003 OCT,2.5
2003 NOV,3.1
2003 DEC,7.8
2004 JAN,7.8
2004 FEB,7.8
2004 MAR,14.9
2004 APR,15.2
2004 MAY,15.6
2004 JUN,20.8
2004 JUL,25.7
2004 AUG,30.2
2004 SEP,34.2
2004 OCT,34.2
2004 NOV,34.4
2004 DEC,28.4
2005 JAN,28.4
2005 FEB,28.4
2005 MAR,23.3
2005 APR,23.3
2005 MAY,22.8
2005 JUN,17.6
2005 JUL,13.0
2005 AUG,12.7
2005 SEP,6.0
2005 OCT,5.8
2005 NOV,5.5
2005 DEC,5.4
2006 JAN,5.4
2006 FEB,5.3
2006 MAR,5.3
2006 APR,5.1
2006 MAY,5.1
2006 JUN,5.0
2006 JUL,4.9
2006 AUG,5.0
2006 SEP,13.0
2006 OCT,13.1
2006 NOV,13.2
2006 DEC,17.4
2007 JAN,17.9
2007 FEB,21.9
2007 MAR,21.9
2007 APR,21.9
2007 MAY,22.2
2007 JUN,26.0
2007 JUL,26.2
2007 AUG,30.2
2007 SEP,24.9
2007 OCT,24.5
2007 NOV,24.4
2007 DEC,19.8
2008 JAN,15.6
2008 FEB,11.8
2008 MAR,8.0
2008 APR,8.0
2008 MAY,4.0
2008 JUN,0.8
2008 JUL,0.6
2008 AUG,-2.7
2008 SEP,-2.9
2008 OCT,-2.8
2008 NOV,-10.1
2008 DEC,-27.6
2009 JAN,-34.7
2009 FEB,-39.9
2009 MAR,-42.2
2009 APR,-46.9
2009 MAY,-45.2
2009 JUN,-45.3
2009 JUL,-45.5
2009 AUG,-45.5
2009 SEP,-45.6
2009 OCT,-45.6
2009 NOV,-41.4
2009 DEC,-27.4
2010 JAN,-17.1
2010 FEB,-10.7
2010 MAR,-4.0
2010 APR,4.7
2010 MAY,4.6
2010 JUN,4.6
2010 JUL,5.2
2010 AUG,5.2
2010 SEP,5.3
2010 OCT,4.8
2010 NOV,5.0
2010 DEC,4.6
2011 JAN,4.5
2011 FEB,4.9
2011 MAR,4.4
2011 APR,4.1
2011 MAY,3.8
2011 JUN,3.8
2011 JUL,3.0
2011 AUG,2.1
2011 SEP,2.1
2011 OCT,1.2
2011 NOV,1.7
2011 DEC,1.2
2012 JAN,0.9
2012 FEB,1.0
2012 MAR,0.6
2012 APR,0.5
2012 MAY,0.9
2012 JUN,1.5
2012 JUL,2.2
2012 AUG,3.1
2012 SEP,3.1
2012 OCT,6.6
2012 NOV,3.2
2012 DEC,4.6
2013 JAN,4.5
2013 FEB,4.0
2013 MAR,4.6
2013 APR,4.4
2013 MAY,4.3
2013 JUN,3.2
2013 JUL,2.7
2013 AUG,2.4
2013 SEP,2.3
2013 OCT,-0.6
2013 NOV,1.3
2013 DEC,0.8
2014 JAN,0.4
2014 FEB,0.6
2014 MAR,0.1
2014 APR,-0.1
2014 MAY,-0.6
2014 JUN,-0.3
2014 JUL,-0.2
2014 AUG,-0.2
2014 SEP,-0.1
2014 OCT,-0.1
2014 NOV,0.1
2014 DEC,0.0
2015 JAN,0.5
2015 FEB,0.4
2015 MAR,0.2
2015 APR,0.3
2015 MAY,0.2
2015 JUN,0.2
2015 JUL,-0.5
2015 AUG,-0.9
2015 SEP,-1.3
2015 OCT,-1.2
2015 NOV,-1.2
2015 DEC,-1.6
2016 JAN,-1.8
2016 FEB,-1.8
2016 MAR,-1.6
2016 APR,-1.8
2016 MAY,-1.6
2016 JUN,-1.9
2016 JUL,-1.7
2016 AUG,-5.3
2016 SEP,-2.7
2016 OCT,-5.1
2016 NOV,-6.0
2016 DEC,-6.0
2017 JAN,-6.2
2017 FEB,-6.2
2017 MAR,-6.3
2017 APR,-6.4
2017 MAY,-5.8
2017 JUN,-6.1
2017 JUL,-6.2
2017 AUG,-2.6
2017 SEP,-5.2
2017 OCT,-2.7
2017 NOV,-1.2
2017 DEC,3.1
2018 JAN,2.3
2018 FEB,2.3
2018 MAR,2.1
2018 APR,2.5
2018 MAY,1.8
2018 JUN,2.4
2018 JUL,2.9
2018 AUG,6.0
2018 SEP,4.1
2018 OCT,7.6
2018 NOV,6.6
2018 DEC,2.7
2019 JAN,3.9
2019 FEB,4.2
2019 MAR,4.5
2019 APR,4.1
2019 MAY,4.8
2019 JUN,4.2
2019 JUL,4.3
2019 AUG,1.6
2019 SEP,3.9
2019 OCT,0.4
2019 NOV,0.8
2019 DEC,0.9
2020 JAN,-0.4
2020 FEB,-1.2
2020 MAR,-0.8
2020 APR,-1.1
2020 MAY,-6.9
2020 JUN,-7.7
2020 JUL,-7.8
2020 AUG,-8.0
2020 SEP,-8.3
2020 OCT,-8.0
2020 NOV,-8.2
2020 DEC,-8.5
2021 JAN,-7.5
2021 FEB,-7.0
2021 MAR,-7.0
2021 APR,-6.5
2021 MAY,-1.2
2021 JUN,0.5
2021 JUL,0.5
2021 AUG,-0.1
2021 SEP,0.5
2021 OCT,0.6
2021 NOV,0.7
2021 DEC,0.8
2022 JAN,1.0
2022 FEB,2.9
2022 MAR,4.0
2022 APR,5.7
2022 MAY,7.1
2022 JUN,9.3
2022 JUL,14.2
2022 AUG,15.3
2022 SEP,19.7
